Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,entity,timestamp
62.098812,43.83917,57.185364,1.2304876,13.550927,6.5869784,66.0,0.04238725,3.3231604,304.33508,65.25237,45.799953,76.3,285.3,163.04265,59.036808,62.05812,302.3,298.3,42.286564,53.4,4.6795526,113.9353,9.37606,61.6,9.766023,67.32281,35.400932,163.8056,305.4,15.869786,10.834181,156.32104,200.0,63.698788,58.863873,67.0,5.289929,76.6,60.8,0.0,2.8638132,303.5,Equipment1,2018-03-13 00:35:00
62.093723,43.896393,57.15993,1.2314031,13.634241,6.620888,66.0,0.0339098,3.2553408,303.08997,65.237114,45.777065,76.6,284.9,163.16472,59.036808,62.05812,302.6,298.7,42.305637,53.0,4.6456428,113.38598,9.655815,61.5,9.833842,67.345695,35.44671,163.8323,305.5,15.632418,10.384876,156.42023,200.0,63.77508,58.858784,67.2,5.3238387,77.0,61.3,0.0,2.8638132,303.9,Equipment1,2018-03-13 00:36:00
62.093723,43.827724,57.139587,1.2323186,13.604029,6.5615463,65.9,0.0339098,3.2892506,302.54062,65.232025,45.77325,76.7,285.1,163.56909,59.036808,62.053036,302.7,298.7,42.240788,53.2,4.6795526,112.32548,9.325195,61.4,9.664293,67.44106,35.469597,163.96582,305.4,15.632418,10.859613,155.75647,200.0,63.778896,58.848614,67.2,5.289929,77.0,61.2,0.0,2.8592355,303.9,Equipment1,2018-03-13 00:37:00
62.098812,43.854427,57.139587,1.2323186,13.576562,6.595456,65.9,0.0339098,3.3231604,302.86105,65.232025,45.624474,76.7,285.2,163.69116,59.036808,62.053036,302.7,298.6,42.198826,53.3,4.6456428,112.08896,9.986436,61.4,9.6303835,67.42962,35.56115,163.99634,305.3,15.700237,10.859613,155.37117,200.0,63.79797,58.8537,67.2,5.256019,76.9,61.2,0.0,2.854658,303.9,Equipment1,2018-03-13 00:38:00
62.098812,43.812466,57.139587,1.2314031,13.588464,6.5615463,66.0,0.0339098,3.2892506,304.4724,65.232025,45.624474,76.5,285.2,163.67209,59.041893,62.053036,302.5,298.6,42.19501,53.3,4.6456428,112.39414,9.816887,61.5,9.7999325,67.410545,35.557335,163.94675,305.4,15.598508,10.664632,155.6344,200.0,63.71786,58.8537,67.1,5.289929,76.9,61.1,0.0,2.8610666,303.8,Equipment1,2018-03-13 00:39:00
62.093723,43.804836,57.134502,1.2323186,13.582055,6.654798,65.9,0.0339098,3.2892506,303.5935,65.22694,45.75799,76.7,285.2,163.69879,59.036808,62.053036,302.7,298.6,42.198826,53.2,4.7134624,112.15381,9.901662,61.4,9.732113,67.360954,35.507744,163.98108,305.3,15.734147,10.698542,155.50089,200.0,63.77508,58.843525,67.2,5.289929,76.9,61.2,0.0,2.854658,303.9,Equipment1,2018-03-13 00:40:00
62.098812,43.846798,57.134502,1.2314031,13.560082,6.578501,65.8,0.0339098,3.2892506,304.7013,65.232025,45.75799,76.5,285.3,163.7522,59.031723,62.047947,302.5,298.4,42.198826,53.4,4.6456428,112.253,9.359105,61.4,9.6303835,67.32281,35.64889,163.97345,305.3,16.039335,10.859613,155.6344,200.0,63.75601,58.843525,67.1,5.256019,76.8,61.0,0.0,2.8528268,303.7,Equipment1,2018-03-13 00:41:00
62.103897,43.83917,57.144672,1.2304876,13.617762,6.5869784,66.0,0.0339098,3.2553408,304.11536,65.242195,45.811398,76.5,285.0,163.61868,59.031723,62.047947,302.6,298.6,42.198826,53.1,4.7134624,112.84047,9.613428,61.6,9.732113,67.33425,35.622185,163.89716,305.5,15.666327,10.664632,155.92813,200.0,63.78271,58.8537,67.1,5.289929,77.0,61.2,0.0,2.8656442,303.8,Equipment1,2018-03-13 00:42:00
62.098812,43.797207,57.12433,1.2323186,13.573815,6.629366,65.8,0.0339098,3.2892506,303.6759,65.22694,45.841915,76.6,285.2,163.67209,59.026634,62.053036,302.7,298.6,42.20264,53.3,4.611733,112.191956,9.681248,61.4,9.698203,67.338066,35.50393,164.0116,305.2,15.700237,10.902,155.77936,200.0,63.74075,58.843525,67.2,5.289929,76.9,61.2,0.0,2.8519113,303.8,Equipment1,2018-03-13 00:43:00
62.093723,43.797207,57.144672,1.2314031,13.622339,6.671753,66.0,0.0339098,3.2892506,303.62097,65.22694,45.685513,76.5,285.0,163.73312,59.031723,62.053036,302.5,298.7,42.183567,53.1,4.7134624,112.50095,9.5456085,61.6,9.833842,67.33425,35.652706,164.065,305.4,16.039335,10.834181,155.84421,200.0,63.79797,58.848614,67.2,5.3238387,77.0,61.2,0.0,2.8656442,303.8,Equipment1,2018-03-13 00:44:00
62.098812,43.820095,57.12433,1.2323186,13.554589,6.519159,65.8,0.0339098,3.3231604,303.7766,65.22694,45.7084,76.5,285.3,163.83994,59.031723,62.047947,302.6,298.5,42.198826,53.4,4.6456428,112.03937,9.350627,61.4,9.596474,67.29992,35.587852,164.04211,305.2,15.971516,10.732451,155.71451,200.0,63.79797,58.848614,67.1,5.289929,76.8,61.0,0.0,2.85008,303.7,Equipment1,2018-03-13 00:45:00
62.093723,43.75906,57.170105,1.2304876,13.490501,6.4937267,65.9,0.0339098,3.3231604,305.7267,65.237114,45.65118,76.3,285.6,163.4966,59.041893,62.042862,302.3,298.0,42.18738,53.8,4.7134624,113.08461,9.596474,61.5,9.494744,67.34951,35.54589,163.92767,305.3,15.768057,10.859613,155.8175,200.0,63.79797,58.858784,66.9,5.2221093,76.3,60.7,0.0,2.856489,303.4,Equipment1,2018-03-13 00:46:00
62.098812,43.881134,57.200623,1.2304876,13.500572,6.5361137,66.1,0.0339098,3.2892506,305.1591,65.25237,45.670254,76.1,285.6,162.90913,59.036808,62.047947,302.2,297.9,42.20264,53.7,4.7134624,114.20615,9.6303835,61.6,9.6303835,67.41436,35.4963,163.75601,305.5,15.971516,10.647677,156.27527,200.0,63.79797,58.863873,66.8,5.2221093,76.3,60.6,0.0,2.8647287,303.4,Equipment1,2018-03-13 00:47:00
62.103897,43.83154,57.18028,1.2314031,13.626917,6.5106816,65.9,0.0339098,3.2553408,301.2772,65.242195,45.9144,76.6,284.9,162.93584,59.036808,62.047947,302.6,298.7,42.278934,53.0,4.6456428,113.73693,9.494744,61.5,9.833842,67.3991,35.48104,163.72931,305.4,15.700237,10.673109,156.44693,200.0,63.79797,58.8537,67.2,5.289929,77.0,61.3,0.0,2.8638132,303.9,Equipment1,2018-03-13 00:48:00
62.093723,43.781948,57.14976,1.2323186,13.609522,6.578501,65.9,0.0339098,3.3231604,301.95468,65.22694,45.864803,76.6,285.0,163.40504,59.041893,62.053036,302.7,298.7,42.244602,53.1,4.6795526,112.37507,9.223466,61.4,9.732113,67.44488,35.50393,163.90097,305.3,16.039335,10.834181,155.86328,200.0,63.75601,58.8537,67.2,5.289929,77.1,61.2,0.0,2.8592355,303.9,Equipment1,2018-03-13 00:49:00
62.11407,44.033722,57.18028,1.2332342,13.573815,6.620888,65.8,0.0339098,3.2892506,302.27512,65.247284,45.922028,76.6,285.2,163.65683,59.057156,62.068295,302.6,298.6,42.534523,53.2,4.7134624,112.149994,9.426925,61.4,9.528654,67.44869,35.629818,163.95438,305.2,15.768057,10.723974,155.26054,200.0,63.736935,58.868958,67.1,5.256019,76.9,61.1,0.0,2.8555734,303.8,Equipment1,2018-03-13 00:50:00
62.12933,44.171055,57.200623,1.2314031,13.568322,6.7141404,65.9,0.04238725,3.3231604,304.48157,65.26254,45.990692,76.5,285.2,163.65302,59.072414,62.078465,302.5,298.6,42.534523,53.2,4.6795526,112.63065,9.7745,61.5,9.732113,67.33425,35.698483,163.99252,305.4,16.208885,10.978298,155.49706,200.0,63.79797,58.884216,67.0,5.289929,76.9,61.1,0.0,2.85832,303.8,Equipment1,2018-03-13 00:51:00
62.134415,44.331272,57.190453,1.2323186,13.6140995,6.5700235,65.9,0.0339098,3.3231604,303.6759,65.26254,46.1471,76.7,285.1,163.87427,59.0775,62.08864,302.7,298.8,42.66041,53.2,4.6456428,112.51621,9.5032215,61.4,9.698203,67.41436,35.774776,164.19089,305.3,15.937606,10.698542,155.95102,200.0,63.79797,58.889305,67.2,5.3238387,77.1,61.3,0.0,2.8574045,303.9,Equipment1,2018-03-13 00:52:00
62.149673,44.36179,57.195538,1.2323186,13.584802,6.7310953,65.9,0.0339098,3.3570702,303.96887,65.27271,46.192875,76.6,285.3,163.98871,59.09276,62.098812,302.6,298.5,42.702374,53.3,4.6795526,112.623024,9.8847065,61.4,9.732113,67.43343,35.77096,164.22903,305.3,16.107155,10.791794,155.67255,200.0,63.79797,58.904564,67.2,5.289929,76.9,61.1,0.0,2.8574045,303.8,Equipment1,2018-03-13 00:53:00
62.164936,44.40757,57.241314,1.2314031,13.49691,6.671753,65.8,0.0339098,3.3570702,306.3218,65.29306,46.215763,76.3,285.7,163.87045,59.097843,62.108986,302.4,298.1,42.721447,53.7,4.7134624,113.27154,9.520176,61.4,9.528654,67.45251,35.797665,164.28244,305.3,16.039335,10.808749,155.7107,200.0,63.79797,58.919823,67.0,5.289929,76.5,60.8,0.0,2.8519113,303.5,Equipment1,2018-03-13 00:54:00
62.175106,44.350346,57.287094,1.2314031,13.474022,6.654798,66.0,0.0339098,3.3570702,306.19363,65.30832,46.25391,76.1,285.8,163.40123,59.11819,62.124245,302.2,297.8,42.82063,53.8,4.747372,114.64866,9.604951,61.6,9.528654,67.47158,35.797665,164.1413,305.4,15.4967785,10.800271,156.18753,200.0,63.78271,58.945255,66.8,5.289929,76.2,60.5,0.0,2.8592355,303.3,Equipment1,2018-03-13 00:55:00
62.190365,44.39994,57.31761,1.2314031,13.452964,6.6632757,65.9,0.0339098,3.3231604,304.49072,65.32867,46.2768,76.1,285.9,162.9282,59.123276,62.139503,302.2,297.6,42.93126,54.0,4.7134624,115.30862,9.596474,61.4,9.494744,67.45632,35.797665,163.97726,305.3,15.734147,10.986775,156.3363,200.0,63.79797,58.960514,66.8,5.256019,76.0,60.4,0.0,2.8555734,303.2,Equipment1,2018-03-13 00:56:00
62.20054,44.52201,57.358303,1.2314031,13.420005,6.620888,66.0,0.0339098,3.3570702,304.39917,65.343925,46.257725,76.0,286.1,162.44373,59.143623,62.149673,302.0,297.3,42.999924,54.1,4.747372,115.88083,9.7575445,61.5,9.494744,67.49447,35.797665,163.79416,305.3,15.564598,10.766361,156.43167,200.0,63.79797,58.975773,66.7,5.256019,75.7,60.2,0.0,2.8592355,303.0,Equipment1,2018-03-13 00:57:00
62.210712,44.476234,57.40408,1.2304876,13.399862,6.6971855,66.0,0.0339098,3.3570702,303.9048,65.359184,46.23102,75.9,286.0,162.00885,59.153797,62.154762,302.0,297.3,43.011368,54.1,4.781282,116.52552,9.977959,61.5,9.393015,67.45251,35.797665,163.6492,305.4,15.564598,10.885046,156.49652,200.0,63.73312,58.99103,66.6,5.256019,75.7,60.2,0.0,2.8610666,302.9,Equipment1,2018-03-13 00:58:00
