Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,entity,timestamp
59.13345,37.52575,54.133533,1.35317,11.942321,5.239064,0.0,7.6636147,3.0857918,304.22522,64.01129,40.17319,78.5,286.1,162.4361,57.03786,60.318577,304.9,300.3,34.946976,53.5,4.3404546,65.78546,8.002713,53.4,8.443541,Equipment1,2018-08-07 00:32:00
59.123276,37.552452,54.103016,1.35317,11.9313345,5.315361,0.0,7.756867,3.1536114,304.34424,64.00112,40.207523,78.5,286.1,161.93637,57.022602,60.308403,304.8,300.2,34.93553,53.5,4.3404546,65.705345,8.206172,53.3,8.646999,Equipment1,2018-08-07 00:33:00
59.128365,37.487602,54.09793,1.35317,11.783933,5.315361,0.0,7.799254,3.051882,305.626,63.996033,40.26856,78.4,286.3,161.8906,57.027687,60.303318,304.7,300.4,34.988937,53.7,4.306545,65.68627,8.036623,53.0,8.680909,Equipment1,2018-08-07 00:34:00
59.123276,37.47616,54.1081,1.35317,11.913024,5.315361,0.0,7.7907767,3.1197016,304.49072,63.996033,40.272373,78.5,286.1,161.95163,57.027687,60.298233,304.8,300.3,34.920273,53.6,4.3404546,65.68246,8.155307,53.3,8.61309,Equipment1,2018-08-07 00:35:00
59.11819,37.449455,54.092842,1.35317,11.913939,5.315361,0.0,7.8077316,3.1197016,304.77454,63.98586,40.23041,78.6,286.1,161.73038,57.01243,60.293144,305.0,300.4,34.9012,53.5,4.306545,65.62142,8.062055,53.1,8.443541,Equipment1,2018-08-07 00:36:00
59.113106,37.487602,54.087757,1.3522545,11.837949,5.256019,0.0,7.765344,3.1875212,304.802,63.980774,40.207523,78.7,286.1,161.6312,57.00734,60.293144,305.1,300.6,34.905014,53.6,4.272635,65.62905,8.070533,52.9,8.748729,Equipment1,2018-08-07 00:37:00
59.113106,37.472343,54.087757,1.35317,11.700618,5.3577485,0.0,7.8077316,3.1875212,305.67178,63.98586,40.142673,78.9,286.2,161.86008,57.017513,60.298233,305.4,301.0,34.91646,53.6,4.272635,65.583275,8.223126,52.3,8.748729,Equipment1,2018-08-07 00:38:00
59.11819,37.369343,54.103016,1.3522545,11.883726,5.239064,0.0,7.722957,3.0857918,304.52734,63.996033,40.19608,78.1,286.4,162.28351,57.017513,60.298233,304.4,299.9,34.897385,53.8,4.3404546,65.52224,8.053577,53.6,8.748729,Equipment1,2018-08-07 00:39:00
59.102932,37.43038,54.087757,1.3522545,11.777523,5.3831806,0.0,7.875551,3.221431,305.30557,63.990948,40.199894,78.9,285.9,161.76852,56.99717,60.282974,305.4,301.0,34.89357,53.4,4.272635,65.58709,8.129874,52.5,8.57918,Equipment1,2018-08-07 00:40:00
59.102932,37.36553,54.077583,1.3522545,11.897459,5.3407936,0.0,7.7907767,3.2892506,304.36255,63.990948,40.17319,78.6,285.9,161.9974,57.002254,60.282974,305.0,300.4,34.897385,53.5,4.3404546,65.526054,8.062055,53.1,8.680909,Equipment1,2018-08-07 00:41:00
